InputID,TargetID,Distance,Distance(km)
82099,82070,0.200787737,22.35169087
87380,87400,0.227450536,25.31979371
43696,43676,0.282038295,31.39650303
40451,40443,0.403253156,44.89014136
70295,70422,0.174982077,19.47900479
82102,82167,0.138001086,15.36228088
41935,41906,0.678275108,75.50558501
87391,87283,0.242704369,27.01785032
45188,45192,0.104396755,11.6214468
71057,70920,0.211257092,23.51713946
43115,43099,0.093953876,10.45894546
45192,45188,0.104396755,11.6214468
70307,95470,0.346780899,38.60364968
40463,40451,0.450320474,50.12967518
43709,43594,0.272253722,30.30728428
43121,43153,0.33721795,37.53910216
45198,85155,0.090171208,10.03785887
41950,41900,0.511729347,56.9657109
70312,95470,0.127792342,14.22584353
45199,85610,0.180420146,20.08437066
99004,99336,0.363531249,40.46829865
43125,43186,0.114968954,12.79834401
45203,45297,0.065370749,7.277071732
41955,41996,0.109027284,12.13691722
43718,43676,0.303405481,33.77509818
43130,43125,0.24826559,27.63692544
41958,43770,0.442999844,49.31474268
70324,70427,0.006269745,0.697947992
41960,43920,0.379073553,42.19846793
43134,43137,0.327936176,36.50585508
82128,82138,0.202023476,22.48925338
45210,45213,0.105342741,11.72675398
87119,87118,0.209935261,23.36999322
43137,43134,0.327936176,36.50585508
45213,45210,0.105342741,11.72675398
87122,87125,0.168188328,18.72272469
70333,70340,0.29775143,33.14568918
43730,45794,0.346504587,38.57289062
45224,45239,0.260807606,29.03310271
87125,87122,0.168188328,18.72272469
82138,82128,0.202023476,22.48925338
200433,200050,0.20991188,23.36739043
70340,70344,0.081848213,9.111343091
82141,82147,0.161554594,17.98425741
82141,82143,0.161554594,17.98425741
41975,43920,0.116559779,12.97543456
45651,45652,0.085221162,9.486819785
45652,45651,0.085221162,9.486819785
70344,70340,0.081848213,9.111343091
45239,45224,0.260807606,29.03310271
40511,40520,0.153327236,17.06838786
43153,43187,0.141806753,15.7859277
99034,99041,0.995019683,110.7655912
41980,41996,0.36742735,40.90201259
45243,85681,0.091159224,10.1478448
87140,87118,0.109925077,12.23685954
82150,82082,0.249429183,27.7664566
200012,87405,0.281662711,31.35469299
99041,99034,0.995019683,110.7655912
45662,45726,0.188306703,20.96230221
40520,40511,0.153327236,17.06838786
200450,83053,0.505263258,56.24590585
41996,41955,0.109027284,12.13691722
82158,82085,0.249879952,27.81663626
45670,45674,0.081876534,9.114495751
40528,42698,0.248230196,27.6329854
45258,85685,0.075012869,8.350432564
45674,45670,0.081876534,9.114495751
40533,40511,0.202701985,22.56478498
43175,43031,0.371549995,41.36094549
82167,82175,0.13784157,15.3445236
42008,42013,0.341867944,38.05673952
43181,43153,0.162966053,18.14138106
43182,43220,0.246757346,27.46902779
45269,45178,0.143278926,15.94981002
82175,82167,0.13784157,15.3445236
45684,45674,0.216544969,24.10578598
42013,42018,0.303382671,33.77255891
43186,43125,0.114968954,12.79834401
43187,43153,0.141806753,15.7859277
42017,42008,0.645251412,71.82938718
42018,42013,0.303382671,33.77255891
45277,45269,0.14809826,16.48629827
45694,45651,0.174741394,19.45221202
43194,43203,0.254814071,28.36590234
40556,40528,0.361502757,40.24248688
45285,45290,0.126223977,14.05125317
45702,82644,0.221196713,24.62361813
43203,43194,0.254814071,28.36590234
45290,45285,0.126223977,14.05125317
82196,87310,0.138021528,15.36455645
45291,85669,0.142738902,15.88969454
43738,43932,0.791036968,88.05823525
45706,45713,0.27349387,30.44533762
40565,42681,0.100311388,11.16666375
45294,45203,0.092202075,10.26393495
45295,45326,0.123241637,13.71925899
43210,43221,0.30990807,34.4989663
45297,45203,0.065370749,7.277071732
70414,70612,0.120142597,13.37427389
45713,45702,0.248435283,27.65581574
70415,70763,0.108491001,12.07721823
40573,40565,0.206894686,23.03151642
70418,70930,0.142263272,15.83674746
82207,82244,0.317238727,35.31501506
45303,85692,0.205639927,22.89183672
42047,42049,0.420059437,46.76101654
70422,70295,0.174982077,19.47900479
